image_id,n_gt,n_pred,n_tp,n_fp,n_fn
42069,0,0,0,0,0
26380,0,0,0,0,0
72603,0,0,0,0,0
25204,0,0,0,0,0
150601,0,0,0,0,0
17664,0,1,0,1,0
115500,0,0,0,0,0
143947,0,0,0,0,0
170037,0,1,0,1,0
123191,0,0,0,0,0
40618,0,0,0,0,0
111262,0,0,0,0,0
185318,0,0,0,0,0
0317,0,0,0,0,0
41923,0,1,0,1,0
114037,0,0,0,0,0
135205,0,0,0,0,0
57859,0,0,0,0,0
140437,0,0,0,0,0
137663,0,0,0,0,0
06846,0,0,0,0,0
34332,0,0,0,0,0
177643,0,0,0,0,0
97632,0,1,0,1,0
147111,0,0,0,0,0
49787,0,0,0,0,0
104080,0,0,0,0,0
122157,0,0,0,0,0
41408,0,0,0,0,0
191450,0,0,0,0,0
59554,0,0,0,0,0
68352,0,0,0,0,0
63348,0,0,0,0,0
111248,0,0,0,0,0
192715,0,1,0,1,0
04603,0,0,0,0,0
53047,0,0,0,0,0
188162,0,0,0,0,0
177313,0,0,0,0,0
110997,0,0,0,0,0
177902,0,0,0,0,0
24797,0,0,0,0,0
54492,0,0,0,0,0
135725,0,0,0,0,0
140177,0,0,0,0,0
15648,0,0,0,0,0
24566,0,0,0,0,0
10890,0,0,0,0,0
09667,0,0,0,0,0
120557,0,0,0,0,0
136873,0,0,0,0,0
112196,0,0,0,0,0
100608,0,0,0,0,0
45351,0,0,0,0,0
161319,0,1,0,1,0
78737,0,0,0,0,0
44574,0,0,0,0,0
122135,0,0,0,0,0
97221,0,1,0,1,0
67235,0,0,0,0,0
117500,0,0,0,0,0
175421,0,0,0,0,0
112511,0,0,0,0,0
17293,0,0,0,0,0
160378,0,0,0,0,0
148894,0,0,0,0,0
51529,0,0,0,0,0
166790,0,0,0,0,0
48458,0,0,0,0,0
109613,0,0,0,0,0
31287,0,0,0,0,0
172452,0,0,0,0,0
22365,0,1,0,1,0
105780,0,0,0,0,0
53807,0,0,0,0,0
107444,0,0,0,0,0
121830,0,0,0,0,0
11765,0,0,0,0,0
101380,0,0,0,0,0
151533,0,0,0,0,0
151054,0,0,0,0,0
149332,0,0,0,0,0
06948,0,0,0,0,0
137638,0,0,0,0,0
125048,0,1,0,1,0
80772,0,0,0,0,0
184995,0,1,0,1,0
17908,0,0,0,0,0
110178,0,1,0,1,0
14139,0,0,0,0,0
64163,0,0,0,0,0
126035,0,0,0,0,0
28490,0,0,0,0,0
165513,0,0,0,0,0
24020,0,0,0,0,0
94255,0,0,0,0,0
122557,0,0,0,0,0
73481,0,0,0,0,0
140933,0,0,0,0,0
177918,0,0,0,0,0
147314,0,0,0,0,0
153884,0,0,0,0,0
63314,0,0,0,0,0
76785,0,0,0,0,0
176625,0,0,0,0,0
139721,0,0,0,0,0
132782,0,0,0,0,0
09678,0,0,0,0,0
64448,0,0,0,0,0
105098,0,0,0,0,0
26643,0,0,0,0,0
135775,0,0,0,0,0
177691,0,0,0,0,0
28270,0,0,0,0,0
94549,0,0,0,0,0
61097,0,0,0,0,0
99445,0,0,0,0,0
180197,0,0,0,0,0
111521,0,0,0,0,0
107988,0,1,0,1,0
125951,0,0,0,0,0
136629,0,1,0,1,0
08547,0,0,0,0,0
80620,0,0,0,0,0
123349,0,0,0,0,0
19687,0,0,0,0,0
12773,0,0,0,0,0
07958,0,0,0,0,0
20741,0,0,0,0,0
01802,0,1,0,1,0
60382,0,0,0,0,0
126603,0,0,0,0,0
112527,0,0,0,0,0
81055,0,0,0,0,0
09547,0,0,0,0,0
130601,0,0,0,0,0
48595,0,1,0,1,0
06092,0,0,0,0,0
75140,0,0,0,0,0
120840,0,0,0,0,0
53071,0,0,0,0,0
183247,0,0,0,0,0
